Accepted_Annotations,Annotation_Count,Comment_Count,Followers,Length_Referent_Text,Number_Contributors,Number_Verified_Annotations,Page_Views,Pyong_Count,Release_Date
22,27,1,2660,44,158,0,1163069,159,8970
15,18,1,693,58,39,0,75496,17,5353
39,47,1,2660,15,231,1,1028013,143,7768
40,52,0,419,17,60,0,42097,5,3586
15,18,0,693,112,39,0,75496,17,5353
118,122,1,17568,108,1380,3,12190302,5604,1678
24,27,0,598,43,125,0,1136917,296,1664
20,31,0,598,82,65,0,167114,92,7114
17,24,2,598,46,31,0,34150,6,7509
6,11,0,17568,47,173,0,826526,170,1657
11,12,2,8610,65,216,0,3708670,204,826
34,36,0,21495,9,245,1,3253375,527,2043
44,45,0,21495,54,712,0,1479165,270,423
24,25,2,17568,32,278,0,1050140,672,1125
15,16,2,10964,82,168,0,2441784,145,751
33,34,0,2503,45,106,0,222423,22,4870
19,23,0,598,25,47,0,78612,9,7132
25,26,1,598,167,273,0,1657441,82,751
45,48,0,693,47,65,0,71516,15,8790
17,24,0,598,112,31,0,34150,6,7509
17,21,1,2660,111,126,2,312702,48,8468
22,28,1,8610,51,167,0,2147517,91,2126
16,19,0,21495,70,100,0,1376561,138,1705
18,19,0,8610,61,197,0,1720858,123,826
50,53,1,8610,18,316,2,2524716,382,1797
22,28,1,8610,103,167,0,2147517,91,2126
40,52,0,419,16,60,0,42097,5,3586
73,77,0,17568,58,279,1,1156612,233,1657
50,57,0,2503,36,88,0,188652,27,1986
11,16,0,598,85,86,0,218921,52,4252
24,26,0,419,97,42,0,44509,5,10877
24,26,0,419,44,42,0,44509,5,10877
44,45,0,21495,101,712,0,1479165,270,423
56,59,0,693,33,134,0,608156,83,4001
39,44,0,2503,111,54,0,150795,8,1986
8,14,0,598,24,24,0,36887,42,7089
55,57,1,17568,22,290,1,1404525,294,1685
39,40,0,693,18,146,0,272088,50,7173
3,4,1,2660,102,44,0,234149,31,8132
27,32,0,419,19,24,0,29132,2,10218
31,58,1,10964,196,245,26,4690125,1077,1192
24,27,1,693,72,55,0,58072,12,7173
65,67,0,8610,49,362,0,2968632,314,2766
45,48,0,693,44,65,0,71516,15,8790
118,122,0,17568,215,1380,3,12190302,5604,1678
30,32,1,2660,50,212,1,994904,262,7159
12,13,0,17568,46,229,0,2590584,402,156
23,24,0,693,27,37,0,86111,3,7173
21,26,0,419,77,27,0,24461,1,9854
56,59,0,693,61,134,0,608156,83,4001
66,67,1,21495,16,246,0,2418330,820,1545
0,6,0,38,33,3,0,1382475,260,1115
4,9,0,2660,11,21,0,409421,30,6389
19,23,0,598,55,47,0,78612,9,7132
30,32,0,693,48,70,0,233864,72,6277
1,12,2,419,34,8,0,41280,2,10877
16,19,0,693,25,27,0,66018,10,5353
20,21,0,10964,42,154,0,2714212,215,1948
40,41,1,10964,76,294,0,3318872,2527,1449
59,65,0,17568,30,375,3,1680661,430,6389
36,39,0,419,97,83,0,253379,45,10906
34,35,0,2660,50,80,0,243325,28,8020
30,32,2,2660,91,212,1,994904,262,7159
30,35,2,2660,27,152,0,245908,29,7906
14,27,0,419,107,58,0,93873,13,10415
22,27,0,693,46,82,0,207559,26,7173
6,8,0,598,674,30,0,41400,65,7306
45,46,1,10964,21,191,0,2798227,1397,1207
14,16,0,2503,21,74,0,265541,33,4926
84,89,0,21495,13,552,4,5613108,2095,2036
4,9,1,2660,54,21,0,409421,30,6389
39,49,0,419,44,193,0,1708934,146,10876
0,3,0,38,70,3,0,1382475,260,1115
30,31,0,2503,71,125,0,579775,56,947
28,29,2,21495,39,198,0,1921896,426,2514
18,21,1,598,233,35,0,38870,60,7089
42,48,0,2503,47,104,0,315757,44,4252
21,26,0,419,17,27,0,24461,1,9854
22,29,0,2660,38,88,0,292144,62,8377
38,39,2,8610,49,262,0,1497028,996,1175
47,51,0,21495,68,346,3,3910160,380,2036
0,6,0,38,36,3,0,1382475,260,1115
15,23,1,598,11,32,0,27804,75,6725
8,9,0,8610,47,84,0,1633034,49,782
16,22,0,2660,65,95,1,234474,28,8132
27,32,0,2660,97,120,0,357887,44,8048
103,107,1,21495,45,399,3,1792776,310,1951
42,43,0,2503,81,218,0,1104987,275,1060
38,39,0,8610,51,262,0,1497028,996,1175
22,28,0,8610,38,167,0,2147517,91,2126
45,46,0,10964,128,191,0,2798227,1397,1207
37,40,0,693,42,96,1,253453,33,7936
19,29,0,598,7,34,0,54207,7,2049
110,117,0,2503,2,149,0,314608,338,1475
33,34,0,2503,52,106,0,222423,22,4870
10,16,0,2660,48,75,0,310739,40,9110
39,42,19,10964,25,393,2,7086094,669,2034
60,62,0,10964,46,199,1,2718643,228,1793
13,14,0,10964,97,93,0,2256798,1395,1111
20,21,0,21495,27,247,0,2330119,168,401
9,16,5,598,37,28,0,33035,77,7404
22,27,0,2660,9,158,0,1163069,159,8970
13,15,0,598,75,66,0,311514,89,5599
27,28,0,10964,8,196,0,3183017,226,1929
23,26,0,419,79,32,0,33966,5,10841
14,16,0,2503,8,74,0,265541,33,4926
34,36,1,2503,124,176,0,336606,54,1017
6,11,0,17568,267,173,0,826526,170,1657
22,27,1,2660,37,158,0,1163069,159,8970
66,67,0,2503,48,117,0,275989,163,1434
55,56,9,17568,99,281,0,1478231,259,5843
30,31,1,2503,49,82,0,140642,18,4646
42,43,0,2503,50,218,0,1104987,275,1060
0,9,0,38,27,4,0,1382475,3,1308
8,9,1,8610,93,84,0,1633034,49,782
98,101,1,21495,315,552,2,2049199,111,2036
54,56,1,17568,32,295,0,1338433,198,3188
22,24,2,21495,48,366,1,2267806,211,401
81,84,0,10964,22,251,2,3670474,495,1699
48,49,1,2503,190,97,0,143815,41,954
8,9,0,8610,91,84,0,1633034,49,782
22,23,0,38,96,125,0,2423056,1331,1177
24,28,0,598,44,32,0,50538,57,7306
11,12,0,8610,28,119,0,1381659,86,826
30,31,0,21495,25,359,0,2563987,651,1162
29,32,1,17568,241,175,0,990612,273,3204
23,24,0,693,22,37,0,86111,3,7173
17,20,0,17568,52,152,1,1204637,210,5733
18,24,0,10964,66,216,0,2254705,226,2518
81,84,1,10964,43,251,2,3670474,495,1699
39,49,0,419,37,193,0,1708934,146,10876
22,27,0,693,13,82,0,207559,26,7173
37,40,0,693,43,96,1,253453,33,7936
16,22,0,2660,93,95,1,234474,28,8132
27,28,0,10964,21,196,0,3183017,226,1929
51,52,0,21495,24,360,0,2016243,1267,1162
38,41,1,2660,210,93,0,243794,37,5654
46,49,0,21495,6,375,2,5236229,872,2119
9,16,0,598,14,28,0,33035,77,7404
